"Time","PDP PDP Latency","RAN RAN Latency","Total Total Latency"
1723033106200,4.74,10.192,14.932
1723033107750,4.833,10.075,14.908
1723033109500,5.067,10.003,15.07
1723033111200,5.105,10.452,15.557
1723033112900,4.989,10.187,15.175999999999998
1723033114450,4.903,10.444,15.347000000000001
1723033115950,4.883,10.45,15.332999999999998
1723033117600,4.695,10.123,14.818
1723033119200,4.941,10.538,15.479
1723033120800,4.73,10.292,15.022
1723033122250,4.905,9.909,14.814
1723033123850,4.794,10.333,15.126999999999999
1723033125450,5.014,10.268,15.282
1723033127100,4.682,10.454,15.136000000000001
1723033128800,4.958,10.161,15.119
1723033130450,4.918,9.91,14.828
1723033132250,4.832,10.035,14.867
1723033133850,4.991,10.256,15.247
1723033135400,4.972,10.348,15.32
1723033137250,4.767,10.433,15.2
1723033138950,4.668,17.404,22.072
1723033140200,0.613,21.553,22.166
1723033142100,0.66,21.266,21.926
1723033143750,0.677,21.281,21.958
1723033145450,0.691,21.408,22.099
1723033147050,0.592,21.657,22.249
1723033148650,0.702,21.303,22.005000000000003
1723033150500,0.673,21.207,21.880000000000003
1723033152200,0.61,21.317,21.927
1723033153850,0.571,21.2,21.771
1723033155650,0.624,21.475,22.099
1723033157400,0.666,21.597,22.263
1723033159100,0.664,21.586,22.25
1723033160850,0.592,21.526,22.118
1723033162500,0.635,21.459,22.094
1723033164300,0.675,21.347,22.022000000000002
